Elevation (ft),Capacity (AF)
4270.0,0.0
4275.0,19.0
4280.0,65.0
4285.0,164.0
4287.7,259.0
4290.0,340.0
4295.0,572.0
4300.0,840.0
4305.0,1140.0
4310.0,1470.0
4315.0,1857.0
4320.0,2330.0
4325.0,2897.0
4330.0,3570.0
4335.0,4345.0
4340.0,5220.0
4345.0,6201.0
4350.0,7295.0
4355.0,8505.0
4360.0,9835.0
4365.0,11277.0
4370.0,12825.0
4375.0,14481.0
4380.0,16250.0
4385.0,18114.0
4390.0,20055.0
4395.0,22071.0
4400.0,24160.0
4401.0,24587.0
4402.0,25016.0
4403.0,25449.0
4404.0,25886.0
4405.0,26325.0
4406.0,26768.0
4407.0,27213.0
4408.0,27662.0
4409.0,28115.0
4410.0,28570.0
4411.0,29029.0
4412.0,29491.0
4414.0,30425.0
4415.0,30898.0
4416.0,31373.0
4417.0,31852.0
4418.0,32335.0
4419.0,32821.0
4420.0,33310.0
4421.0,33803.0
4422.0,34299.0
4423.0,34799.0
4424.0,35303.0
4425.0,35810.0
4426.0,36321.0
4427.0,36835.0
4428.0,37353.0
4429.0,37875.0
4430.0,38400.0
4431.0,38929.0
4432.0,39461.0
4433.0,39996.0
4434.0,40535.0
4435.0,41078.0
4436.0,41623.0
4437.0,42172.0
4438.0,42725.0
4439.0,43281.0
4440.0,43840.0
4441.0,44403.0
4442.0,44968.0
4443.0,45537.0
4444.0,46110.0
4445.0,46685.0
4446.0,47264.0
4447.0,47845.0
4448.0,48430.0
4449.0,49019.0
4450.0,49610.0
4451.0,50205.0
4452.0,50802.0
4453.0,51403.0
4454.0,52007.0
4455.0,52614.0
4456.0,53224.0
4457.0,53837.0
4458.0,54453.0
4459.0,55073.0
4460.0,55695.0
4461.0,56321.0
4462.0,56949.0
4463.0,57581.0
4464.0,58217.0
4465.0,58855.0
4466.0,59497.0
4467.0,60141.0
4468.0,60789.0
4469.0,61441.0
4470.0,62095.0
4471.0,62753.0
4472.0,63413.0
4473.0,64077.0
4474.0,64743.0
4475.0,65413.0
4476.0,66085.0
4477.0,66761.0
4478.0,67439.0
4479.0,68121.0
4480.0,68805.0
4481.0,69492.0
4482.0,70182.0
4483.0,70874.0
4484.0,71569.0
4485.0,72266.0
4486.0,72966.0
4487.0,73668.0
4488.0,74373.0
4489.0,75080.0
4490.0,75790.0
4491.0,76502.0
4492.0,77217.0
4493.0,77934.0
4494.0,78654.0
4495.0,79376.0
4496.0,80101.0
4497.0,80828.0
4498.0,81558.0
4499.0,82290.0
4500.0,83025.0
4501.0,83762.0
4502.0,84502.0
4503.0,85243.0
4504.0,85987.0
4505.0,86734.0
4506.0,87482.0
4507.0,88223.0
4508.0,88987.0
4509.0,89742.0
4510.0,90500.0
4511.0,91260.0
4512.0,92023.0
4513.0,92787.0
4514.0,93554.0
4515.0,94324.0
4516.0,95095.0
4517.0,95869.0
4518.0,96646.0
4519.0,97424.0
4520.0,98205.0
4521.0,98988.0
4522.0,99774.0
4523.0,100561.0
4524.0,101351.0
4525.0,102144.0
4526.0,102938.0
4527.0,103735.0
4528.0,104535.0
4529.0,105336.0
4530.0,106140.0
4531.0,106946.0
4532.0,107755.0
4533.0,108566.0
4534.0,109379.0
4535.0,110195.0
4536.0,111013.0
4537.0,111843.0
4538.0,112657.0
4539.0,113482.0
4540.0,114310.0
4541.0,115140.0
4542.0,115973.0
4543.0,116808.0
4544.0,117645.0
4545.0,118485.0
4546.0,119327.0
4548.0,121019.0
4549.0,121868.0
4550.0,122720.0
4551.0,123575.0
4552.0,124434.0
4553.0,125279.0
4554.0,126164.0
4555.0,127035.0
4556.0,127910.0
4557.0,128789.0
4558.0,129672.0
4559.0,130559.0
4560.0,131450.0
4561.0,132346.0
4562.0,133247.0
4563.0,134155.0
4564.0,135068.0
4565.0,135986.0
4566.0,136911.0
4567.0,137841.0
4568.0,138776.0
4569.0,139718.0
4570.0,140655.0
4571.0,141618.0
4572.0,142577.0
4573.0,143542.0
4574.0,144513.0
4575.0,145490.0
4576.0,146475.0
4577.0,147462.0
4578.0,148457.0
4579.0,149458.0
4580.0,150465.0
4581.0,151478.0
4582.0,152498.0
4583.0,153523.0
4584.0,154555.0
4585.0,155594.0
4586.0,156638.0
4587.0,157689.0
4588.0,158747.0
4589.0,159810.0
4590.0,160880.0
4591.0,161956.0
4592.0,163036.0
4593.0,164122.0
4594.0,165213.0
4595.0,166309.0
4596.0,167410.0
4597.0,168516.0
4598.0,169627.0
4599.0,170744.0
4601.0,172991.0
4602.0,174123.0
4603.0,175259.0
4604.0,176399.0
4605.0,177545.0
4606.0,178695.0
4607.0,179851.0
4608.0,181011.0
4609.0,182175.0
4610.0,183345.0
4611.0,184519.0
4612.0,185697.0
4613.0,186879.0
4614.0,188065.0
4615.0,189255.0
4616.0,190449.0
4617.0,191647.0
4618.0,192849.0
4619.0,194055.0
4620.0,195265.0
4621.0,196479.0
4622.0,197697.0
4623.0,198919.0
4624.0,200146.0
4625.0,201376.0
4626.0,202611.0
4628.0,205090.0
4629.0,206339.0
4630.0,207590.0
4631.0,208845.0
4632.0,210104.0
4634.0,212633.0
4635.0,213904.0
4636.0,215178.0
4637.0,216457.0
4638.0,217739.0
4639.0,219025.0
4640.0,220315.0
4642.0,222906.0
4643.0,224208.0
4644.0,225513.0
4645.0,226821.0
4646.0,228134.0
4647.0,229450.0
4648.0,230769.0
4649.0,232093.0
4650.0,233420.0
