Elevation (ft),Capacity (acre-feet)
4540,4
4542.9,9
4543.3,11
4543.7,12
4544.1,13
4544.5,14
4544.9,15
4545.3,16
4545.7,17
4546.1,19
4546.4,20
4546.7,21
4547,22
4547.3,23
4547.6,24
4547.9,25
4548.2,26
4548.5,28
4548.8,29
4549.1,30
4549.4,31
4549.7,33
4550,34
4550.3,35
4550.6,37
4550.9,38
4551.1,39
4551.3,40
4551.5,41
4551.7,42
4551.9,44
4552.1,45
4552.3,46
4552.5,47
4552.7,48
4552.9,49
4553.1,50
4553.3,51
4553.5,53
4553.7,54
4553.9,55
4554.1,56
4554.3,58
4554.5,59
4554.7,60
4554.9,61
4555.1,63
4555.3,64
4555.5,65
4555.7,67
4555.9,68
4556.1,70
4556.3,71
4556.5,72
4556.7,74
4556.9,75
4557.1,77
4557.3,78
4557.5,80
4557.7,81
4557.9,83
4558.1,84
4558.3,86
4558.5,88
4558.7,89
4558.9,91
4559.1,93
4559.3,94
4559.5,96
4559.7,98
4559.9,100
4560.1,101
4560.3,103
4560.5,105
4560.7,107
4560.9,109
4561.1,110
4561.3,112
4561.5,114
4561.7,116
4561.9,118
4562.1,120
4562.3,122
4562.4,123
4562.5,124
4562.6,125
4562.7,126
4562.8,127
4562.9,128
4563,129
4563.1,130
4563.2,131
4563.3,132
4563.4,133
4563.5,134
4563.6,135
4563.7,137
4563.8,138
4563.9,139
4564,140
4564.1,141
4564.2,142
4564.3,143
4564.4,144
4564.5,145
4564.6,146
4564.7,148
4564.8,149
4564.9,150
4565,151
4565.1,152
4565.2,153
4565.3,154
4565.4,156
4565.5,157
4565.6,158
4565.7,159
4565.8,160
4565.9,161
4566,163
4566.1,164
4566.2,165
4566.3,166
4566.4,167
4566.5,169
4566.6,170
4566.7,171
4566.8,172
4566.9,174
4567,175
4567.1,176
4567.2,177
4567.3,179
4567.4,180
4567.5,181
4567.6,183
4567.7,184
4567.8,185
4567.9,186
4568,188
4568.1,189
4568.2,190
4568.3,192
4568.4,193
4568.5,194
4568.6,196
4568.7,197
4568.8,198
4568.9,200
4569,201
4569.1,203
4569.2,204
4569.3,205
4569.4,207
4569.5,208
4569.6,210
4569.7,211
4569.8,212
4569.9,214
4570,215
4570.1,217
4570.2,218
4570.3,220
4570.4,221
4570.5,223
4570.6,224
4570.7,226
4570.8,227
4570.9,229
4571,230
4571.1,232
4571.2,233
4571.3,235
4571.4,236
4571.5,238
4571.6,239
4571.7,241
4571.8,242
4571.9,244
4572,245
4572.1,247
4572.2,249
4572.3,250
4572.4,252
4572.5,253
4572.6,255
4572.7,257
4572.8,258
4572.9,260
4573,261
4573.1,263
4573.2,265
4573.3,266
4573.4,268
4573.5,270
4573.6,271
4573.7,273
4573.8,275
4573.9,276
4574,278
4574.1,280
4574.2,282
4574.3,283
4574.4,285
4574.5,287
4574.6,289
4574.7,290
4574.8,292
4574.9,294
4575,296
4575.1,297
4575.2,299
4575.3,301
4575.4,303
4575.5,305
4575.6,306
4575.7,308
4575.8,310
4575.9,312
4576,314
4576.1,316
4576.2,318
4576.3,319
4576.4,321
4576.5,323
4576.6,325
4576.7,327
4576.8,329
4576.9,331
4577,333
4577.1,335
4577.2,337
4577.3,339
4577.4,341
4577.5,342
4577.6,344
4577.7,346
4577.8,348
4577.9,350
4578,352
4578.1,354
4578.2,356
4578.3,359
4578.4,361
4578.5,363
4578.6,365
4578.7,367
4578.8,369
4578.9,371
4579,373
4579.1,375
4579.2,377
4579.3,379
4579.4,381
4579.5,383
4579.6,386
4579.7,388
4579.8,390
4579.9,392
4580,394
4580.1,396
4580.2,399
4580.3,401
4580.4,403
4580.5,405
4580.6,407
4580.7,410
4580.8,412
4580.9,414
4581,416
4581.1,419
4581.2,421
4581.3,423
4581.4,425
4581.5,428
4581.6,430
4581.7,432
4581.8,435
4581.9,437
4582,439
4582.1,442
4582.2,444
4582.3,446
4582.4,449
4582.5,451
4582.6,453
4582.7,456
4582.8,458
4582.9,461
4583,463
4583.1,466
4583.2,468
4583.3,470
4583.4,473
4583.5,475
4583.6,478
4583.7,480
4583.8,483
4583.9,485
4584,488
4584.1,490
4584.2,493
4584.3,495
4584.4,498
4584.5,501
4584.6,503
4584.7,506
4584.8,508
4584.9,511
4585,514
4585.1,516
4585.2,519
4585.3,521
4585.4,524
4585.5,527
4585.6,529
4585.7,532
4585.8,535
4585.9,537
4586,540
4586.1,543
4586.2,546
4586.3,548
4586.4,551
4586.5,554
4586.6,557
4586.7,559
4586.8,562
4586.9,565
4587,568
4587.1,570
4587.2,573
4587.3,576
4587.4,579
4587.5,582
4587.6,585
4587.7,588
4587.8,590
4587.9,593
4588,596
4588.1,599
4588.2,602
4588.3,605
4588.4,608
4588.5,611
4588.6,614
4588.7,617
4588.8,620
4588.9,623
4589,626
4589.1,629
4589.2,632
4589.3,635
4589.4,638
4589.5,641
4589.6,644
4589.7,647
4589.8,650
4589.9,653
4590,656
4590.1,660
4590.2,663
4590.3,666
4590.4,669
4590.5,672
4590.6,675
4590.7,678
4590.8,682
4590.9,685
4591,688
4591.1,691
4591.2,695
4591.3,698
4591.4,701
4591.5,704
4591.6,708
4591.7,711
4591.8,714
4591.9,718
4592,721
4592.1,724
4592.2,728
4592.3,731
4592.4,734
4592.5,738
4592.6,741
4592.7,744
4592.8,748
4592.9,751
4593,755
4593.1,758
4593.2,762
4593.3,765
4593.4,769
4593.5,772
4593.6,776
4593.7,779
4593.8,783
4593.9,786
4594,790
4594.1,793
4594.2,797
4594.3,801
4594.4,804
4594.5,808
4594.6,811
4594.7,815
4594.8,819
4594.9,822
4595,826
4595.1,830
4595.2,833
4595.3,837
4595.4,841
4595.5,845
4595.6,848
4595.7,852
4595.8,856
4595.9,860
4596,863
4596.1,867
4596.2,871
4596.3,875
4596.4,879
4596.5,883
4596.6,886
4596.7,890
4596.8,894
4596.9,898
4597,902
4597.1,906
4597.2,910
4597.3,914
4597.4,918
4597.5,922
4597.6,926
4597.7,930
4597.8,934
4597.9,938
4598,942
4598.1,946
4598.2,950
4598.3,954
4598.4,958
4598.5,962
4598.6,966
4598.7,971
4598.8,975
4598.9,979
4599,983
4599.1,987
4599.2,992
4599.3,996
4599.4,1000
4599.5,1004
4599.6,1008
4599.7,1013
4599.8,1017
4599.9,1021
4600,1026
4600.1,1030
4600.2,1034
4600.3,1039
4600.4,1043
4600.5,1047
4600.6,1052
4600.7,1056
4600.8,1061
4600.9,1065
4601,1069
4601.1,1074
4601.2,1078
4601.3,1083
4601.4,1087
4601.5,1092
4601.6,1096
4601.7,1101
4601.8,1106
4601.9,1110
4602,1115
4602.1,1119
4602.2,1124
4602.3,1129
4602.4,1133
4602.5,1138
4602.6,1143
4602.7,1147
4602.8,1152
4602.9,1157
4603,1161
4603.1,1166
4603.2,1171
4603.3,1176
4603.4,1180
4603.5,1185
4603.6,1190
4603.7,1195
4603.8,1200
4603.9,1205
4604,1209
4604.1,1214
4604.2,1219
4604.3,1224
4604.4,1229
4604.5,1234
4604.6,1239
4604.7,1244
4604.8,1249
4604.9,1254
4605,1259
4605.1,1264
4605.2,1269
4605.3,1274
4605.4,1279
4605.5,1284
4605.6,1289
4605.7,1295
4605.8,1300
4605.9,1305
4606,1310
4606.1,1315
4606.2,1320
4606.3,1326
4606.4,1331
4606.5,1336
4606.6,1341
4606.7,1347
4606.8,1352
4606.9,1357
4607,1363
4607.1,1368
4607.2,1373
4607.3,1379
4607.4,1384
4607.5,1390
4607.6,1395
4607.7,1400
4607.8,1406
4607.9,1411
4608,1417
4608.1,1422
4608.2,1428
4608.3,1433
4608.4,1439
4608.5,1445
4608.6,1450
4608.7,1456
4608.8,1461
4608.9,1467
4609,1473
4609.1,1478
4609.2,1484
4609.3,1490
4609.4,1495
4609.5,1501
4609.6,1507
4609.7,1513
4609.8,1519
4609.9,1524
4610,1530
4610.1,1536
4610.2,1542
4610.3,1548
4610.4,1554
4610.5,1559
4610.6,1565
4610.7,1571
4610.8,1577
4610.9,1583
4611,1589
4611.1,1595
4611.2,1601
4611.3,1607
4611.4,1613
4611.5,1619
4611.6,1626
4611.7,1632
4611.8,1638
4611.9,1644
4612,1650
4612.1,1656
4612.2,1662
