,I_ALD004,I_ALD002,I_SFA066,I_SLF009,I_SILVR,I_SFA076,I_ALOHA,I_PYR001,I_WBR001
10/31/1921,0.05,0.01,0.39,0.26,0.25,0.23,0.11,0.18,0.2
11/30/1921,0.19,0.03,0.96,0.64,0.63,0.56,0.21,0.35,0.86
12/31/1921,0.89,0.16,2.7,1.81,1.41,1.58,0.45,0.72,3.68
1/31/1922,0.88,0.16,2.01,1.35,0.82,1.18,0.22,0.35,4.35
2/28/1922,2.87,0.51,5.75,3.85,2.18,3.37,0.56,0.9,15.75
3/31/1922,2.65,0.47,4.91,3.29,2.2,2.88,0.42,0.68,14.77
4/30/1922,4.75,0.85,8.59,5.75,4.87,5.03,0.66,1.06,21.77
5/31/1922,12.39,2.22,46.7,31.26,0,27.36,3.3,5.3,14.36
6/30/1922,5.43,0.97,49.61,33.21,0,29.07,5.46,8.77,1.99
7/31/1922,0.32,0.06,6.94,4.65,0,4.07,1.68,2.7,0.21
8/31/1922,0.05,0.01,0.86,0.58,0,0.5,0.18,0.29,0.12
9/30/1922,0.02,0,0,0,42.89,0,0.07,0.12,0.06
10/31/1922,0.08,0.01,0.08,0.05,0.17,0.05,0.04,0.08,0.26
11/30/1922,0.11,0.02,0.7,0.47,0.11,0.41,0.12,0.25,1.34
12/31/1922,2.5,0.45,2.44,1.63,0,1.43,0.28,0.57,14.55
1/31/1923,1.9,0.34,2.49,1.67,1.28,1.46,0.26,0.54,12.19
2/28/1923,1.04,0.19,2.28,1.53,1.64,1.34,0.21,0.43,7.54
3/31/1923,2.8,0.5,6.31,4.22,2.72,3.7,0.43,0.89,9.76
4/30/1923,7.4,1.32,16.22,10.86,2.46,9.5,0.95,1.95,12.55
5/31/1923,4.94,0.88,33.49,22.42,13.1,19.62,2.61,5.34,2.97
6/30/1923,1.29,0.23,17.21,11.52,6.84,10.08,2.03,4.15,0.48
7/31/1923,0.24,0.04,6.12,4.1,1.67,3.59,1.18,2.41,0.15
8/31/1923,0.05,0.01,0.98,0.66,0,0.57,0.23,0.48,0.06
9/30/1923,0.04,0.01,0.97,0.65,0.13,0.57,0.19,0.39,0.15
10/31/1923,0.05,0.01,0.86,0.58,0.16,0.5,0.32,0.6,0
11/30/1923,0.05,0.01,0.94,0.63,0.01,0.55,0.16,0.3,0
12/31/1923,0.06,0.01,1.14,0.76,0,0.67,0.13,0.25,0
1/31/1924,0.17,0.03,0.99,0.66,0,0.58,0.1,0.19,0
2/29/1924,0.83,0.15,2.11,1.41,0,1.24,0.21,0.39,0
3/31/1924,0.27,0.05,2.18,1.46,0.51,1.28,0.24,0.45,0
4/30/1924,0.74,0.13,7.27,4.87,2.17,4.26,1.04,1.95,0
5/31/1924,0.26,0.05,8.27,5.54,3.97,4.85,1.96,3.7,0
6/30/1924,0.03,0,0.88,0.59,0.11,0.52,0.42,0.79,0
7/31/1924,0.01,0,0.16,0.11,0,0.09,0.11,0.2,0
8/31/1924,0.01,0,0.05,0.03,0,0.03,0.08,0.15,0
9/30/1924,0.01,0,0,0,0,0,0.02,0.04,0
10/31/1924,0.04,0.01,0.44,0.29,0.74,0.26,0.13,0.27,0.18
11/30/1924,0.37,0.07,1.92,1.29,0.68,1.12,0.26,0.54,1.31
12/31/1924,0.69,0.12,2.11,1.41,0.84,1.24,0.23,0.48,2.36
1/31/1925,0.83,0.15,2.57,1.72,0.28,1.51,0.2,0.42,3.17
2/28/1925,4.5,0.81,8.2,5.49,1.66,4.8,0.53,1.11,25.09
3/31/1925,4.19,0.75,10.38,6.95,2.91,6.08,0.57,1.18,13.32
4/30/1925,8.18,1.46,24.01,16.07,4.49,14.07,1.37,2.85,12.4
5/31/1925,5.13,0.92,37.98,25.43,12.59,22.25,2.77,5.75,2.42
6/30/1925,1.17,0.21,22.17,14.84,8.6,12.99,2.5,5.21,0.45
7/31/1925,0.22,0.04,6.8,4.55,1.21,3.98,1.12,2.34,0.13
8/31/1925,0.05,0.01,1.31,0.88,0,0.77,0.27,0.56,0.09
9/30/1925,0.02,0,0.79,0.53,0,0.46,0.14,0.28,0.06
10/31/1925,0.04,0.01,0.82,0.55,0,0.48,0.15,0.31,0.24
11/30/1925,0.08,0.01,1.07,0.72,0.19,0.63,0.18,0.36,0.53
12/31/1925,0.12,0.02,1.76,1.18,0.46,1.03,0.21,0.42,1.15
1/31/1926,0.28,0.05,1.28,0.86,0.15,0.75,0.13,0.25,1.15
2/28/1926,1.08,0.19,2.2,1.47,0.17,1.29,0.19,0.38,7.29
3/31/1926,2.49,0.45,7.27,4.87,2.78,4.26,0.58,1.14,5.6
4/30/1926,4.94,0.88,17.45,11.68,6.91,10.22,1.7,3.37,3.96
5/31/1926,1,0.18,14.14,9.47,5.42,8.28,1.96,3.87,0.37
6/30/1926,0.16,0.03,3.72,2.49,0.69,2.18,0.87,1.72,0.08
7/31/1926,0.03,0.01,0.69,0.46,0.02,0.4,0.2,0.39,0.05
8/31/1926,0.01,0,0.28,0.19,0,0.16,0.09,0.18,0
9/30/1926,0.01,0,0.43,0.29,0.28,0.25,0.11,0.22,0.01
10/31/1926,0.02,0,0.4,0.27,0.24,0.23,0.09,0.2,0.19
11/30/1926,0.95,0.17,3.66,2.45,0.23,2.14,0.4,0.84,4.79
12/31/1926,1.3,0.23,3.31,2.22,2.17,1.94,0.34,0.72,5.61
1/31/1927,1.51,0.27,5.12,3.43,1.49,3,0.36,0.76,9.2
2/28/1927,4.87,0.87,8.77,5.87,1.46,5.14,0.48,1,36.51
3/31/1927,6.17,1.1,12.21,8.17,1.92,7.15,0.61,1.29,18.6
4/30/1927,8.62,1.54,22.63,15.15,4.7,13.26,1.24,2.6,10.64
5/31/1927,5.98,1.07,36.74,24.6,11.84,21.53,2.55,5.34,2.76
6/30/1927,1.51,0.27,32.07,21.47,12.03,18.79,3.2,6.69,0.78
