,ALOHA,LKVLY,NTOMA
10/31/1921,4.1,4.57,3.04
11/30/1921,1.01,1.16,1.65
12/31/1921,0.5,0.53,0.89
1/31/1922,0.29,0.36,0.58
2/28/1922,0.77,0.76,0.74
3/31/1922,0.77,1.01,2.03
4/30/1922,2.09,2.4,3.55
5/31/1922,5.99,5.96,5.56
6/30/1922,7.58,7.62,7.05
7/31/1922,10.55,9.32,7.63
8/31/1922,9.09,8.79,6.74
9/30/1922,6.67,5.98,6.14
10/31/1922,3.51,3.84,3.07
11/30/1922,0.83,0.89,0.99
12/31/1922,0.41,0.41,0.37
1/31/1923,0.34,0.37,0.38
2/28/1923,0.75,0.73,1.15
3/31/1923,1.41,1.68,2.92
4/30/1923,1.87,2.2,3.1
5/31/1923,5.99,5.96,5.57
6/30/1923,7.54,7.58,5.79
7/31/1923,10.68,9.74,7.83
8/31/1923,9.05,8.78,6.84
9/30/1923,7.47,6.57,5.43
10/31/1923,3.47,3.79,3.72
11/30/1923,0.89,1.12,2.14
12/31/1923,0.41,0.52,0.86
1/31/1924,0.34,0.43,0.88
2/29/1924,0.73,0.72,1.69
3/31/1924,0.92,1.12,2.45
4/30/1924,2.4,2.79,4.4
5/31/1924,5.95,5.95,6.64
6/30/1924,7.6,7.64,7.32
7/31/1924,10.16,9.48,7.96
8/31/1924,8.85,8.68,7.07
9/30/1924,6.99,6.21,5.58
10/31/1924,3.22,3.61,2.49
11/30/1924,0.75,0.94,1.46
12/31/1924,0.43,0.52,0.39
1/31/1925,0.3,0.39,0.79
2/28/1925,0.76,0.75,1
3/31/1925,1.15,1.57,2.6
4/30/1925,2.17,2.48,3.22
5/31/1925,6,5.96,5.22
6/30/1925,7.58,7.61,7.27
7/31/1925,10.98,9.7,8.23
8/31/1925,9.29,8.85,6.52
9/30/1925,7.87,7.13,4.6
10/31/1925,3.65,3.94,3.47
11/30/1925,0.87,0.84,1.58
12/31/1925,0.65,0.71,0.76
1/31/1926,0.41,0.43,0.52
2/28/1926,0.76,0.74,1.13
3/31/1926,1.75,1.94,3.07
4/30/1926,2.77,2.6,3.68
5/31/1926,5.96,5.96,5.8
6/30/1926,7.64,7.64,8.21
7/31/1926,10.47,9.26,8.69
8/31/1926,8.9,8.6,7.07
9/30/1926,7.12,6.52,5.27
10/31/1926,4.22,4.42,3.41
11/30/1926,0.93,0.91,1.7
12/31/1926,0.39,0.45,0.85
1/31/1927,0.31,0.35,0.74
2/28/1927,0.79,0.77,0.97
