,11317000,11318500,11315000,MKM,EBMUD_11319500,11319500,11313500,SS_HIST_EVAP,11315600,11315400,PGE_OLD_RES,11315900,11314500,11314000,11315030,LB_HIST_EVAP,11315000,NOTE: I have put the output of the excel sheet into 11315000 because I haven't matched the excel errors in python.
9/30/1921,,,,,,,0,,0,-901,10.84,,,,,,,
10/31/1921,0.201064463,-901,-901,2.3,-901,,0,0,0,-901,5.27,-901,-901,0,-901,0,0.11,
11/30/1921,0.278479339,-901,-901,2.4,-901,,0,0,0,-901,2.53,-901,-901,0,-901,0,0.1,
12/31/1921,1.586380165,-901,-901,11.5,-901,,0,0,0,-901,2.65,-901,-901,0,-901,0,0.55,
1/31/1922,2.04753719,-901,-901,21.5,-901,,0,0,0,-901,4.38,-901,-901,0,-901,0,1.28,
2/28/1922,7.44753719,-901,-901,59.9,-901,,0,0,0,-901,5.01,-901,-901,0,-901,0,3.1,
3/31/1922,7.685950413,-901,-901,57.4,-901,,0,0,0,-901,5.66,-901,-901,0,-901,0,2.28,
4/30/1922,12.04363636,-901,-901,108.3,-901,,0,0,0,-901,6.46,-901,-901,0,-901,0,4.59,
5/31/1922,18.39709091,-901,-901,334.2,-901,,0,0,0,-901,19.99,-901,-901,0,-901,0,22.43,
6/30/1922,5.563636364,-901,-901,283.8,-901,,0,0,0,-901,24.84,-901,-901,0,-901,0,21.32,
7/31/1922,0.971504132,-901,-901,39.8,-901,,0,0,0,-901,24.49,-901,-901,0,-901,0,1.69,
8/31/1922,0.341256198,-901,-901,3.1,-901,,0,0,0,-901,16.63,-901,-901,0,-901,0,0.04,
9/30/1922,0.176727273,-901,-901,1.1,-901,,0,0,0,-901,9.38,-901,-901,0,-901,0,0.01,
10/31/1922,0.308052893,-901,-901,3.5,-901,,0,0,0,-901,4.2,-901,-901,0,-901,0,0.16,
11/30/1922,0.874710744,-901,-901,10.6,-901,,0,0,0,-901,3.6,-901,-901,0,-901,0,0.63,
12/31/1922,6.161057851,-901,-901,60.3,-901,,0,0,0,-901,4.46,-901,-901,0,-901,0,3.45,
1/31/1923,4.021289256,-901,-901,46.6,-901,,0,0,0,-901,4.87,-901,-901,0,-901,0,2.21,
2/28/1923,3.820958678,-901,-901,35,-901,,0,0,0,-901,5.04,-901,-901,0,-901,0,1.51,
3/31/1923,4.328727273,-901,-901,46.2,-901,,0,0,0,-901,8.71,-901,-901,0,-901,0,2.2,
4/30/1923,12.14479339,-901,-901,129,-901,,0,0,0,-901,10.3,-901,-901,0,-901,0,7.51,
5/31/1923,5.515438017,-901,-901,231.2,-901,,0,0,0,-901,15.82,-901,-901,0,-901,0,18.62,
6/30/1923,1.916033058,-901,-901,111,-901,,0,0,0,-901,22.11,-901,-901,0,-901,0,8.14,
7/31/1923,0.590280992,-901,-901,30.6,-901,,0,0,0,-901,23.38,-901,-901,0,-901,0,1.43,
8/31/1923,0.248409917,-901,-901,1.7,-901,,0,0,0,-901,15.04,-901,-901,0,-901,0,0.02,
9/30/1923,0.236826446,-901,-901,3.7,-901,,0,0,0,-901,8.84,-901,-901,0,-901,0,0.06,
10/31/1923,0.385527273,-901,-901,8.2,-901,,0,0,0,-901,6.26,-901,-901,0,-901,0,0.71,
11/30/1923,0.364760331,-901,-901,5.1,-901,,0,0,0,-901,3.25,-901,-901,0,-901,0,0.43,
12/31/1923,0.545395041,-901,-901,5.5,-901,,0,0,0,-901,0.92,-901,-901,0,-901,0,0.42,
1/31/1924,0.823933884,-901,-901,8.4,-901,,0,0,0,-901,0,-901,-901,0,-901,0,0.51,
