,I_STS059,I_TULOC,I_RLIEF,I_MFS047,I_CFS001,I_DONLL,I_MFS022,I_NFS033,I_SPICE,I_NFS009,I_BVC007,I_MIL003,I_NFS005,I_ANG017,I_MFS013,I_BEARD,I_SFS033,I_LYONS,I_SFS030,I_PCRST
9/30/1921,,,,,,,,,,,,,,,,,,,,
10/31/1921,0.04,0,0.5,0.39,0.77,0.43,0.12,0.62,0.77,1.58,0.16,0.07,0.09,0.03,0,0,0.09,0.13,0.03,0.14
11/30/1921,0.04,0.01,0.65,0.51,1.01,0.56,0.16,0.13,0.16,0.18,0.21,0.09,0.01,0.04,0,0,0.12,0.17,0.04,0.18
12/31/1921,0.06,1.94,1.43,1.12,2.38,3.03,0.85,0.32,0.29,0,1.35,0.56,0,0.28,0.32,1,0.55,0.47,0.11,0.82
1/31/1922,0.08,2.12,1.07,0.84,2.56,4.31,1.21,1.22,1.12,3.12,1.71,0.71,0.18,0.35,0.37,1.17,0.63,0.59,0.13,0.95
2/28/1922,0.11,15.38,1.9,1.49,5.35,11.94,3.37,1.51,1.84,3.23,5.17,2.15,0.18,1.06,1.09,3.45,1.49,1.97,0.45,2.24
3/31/1922,0.08,5.92,1.4,1.1,3.73,11.2,3.16,3.21,4.21,16.28,5.22,2.17,0.92,1.07,1.04,3.31,1.36,2.18,0.5,2.04
4/30/1922,0.08,4.09,2.17,1.71,6.36,20.83,5.88,5.83,7.21,27.21,8.82,3.67,1.53,1.81,1.71,5.4,2.59,3.81,0.87,3.88
5/31/1922,0.06,1.29,16.05,12.61,35.35,85.01,23.98,28.74,39.25,73.29,17.53,7.3,4.13,3.59,3.81,12.06,14.92,6.55,1.48,22.38
6/30/1922,0.01,0.34,24.87,19.54,49.9,73.9,20.84,23.99,36.71,43.21,6.04,2.51,2.43,1.24,2.34,7.41,16.86,3.05,0.69,25.29
7/31/1922,0,0.06,10.52,8.27,17.57,16.66,4.7,2.83,6.14,4.04,1.21,0.5,0.23,0.25,0.34,1.09,3.75,0.81,0.18,5.62
