,I_DCC010,I_FRMDW,I_MFA036,I_RUB047,I_LRB004,I_HHOLE,I_LOONL,I_SFR006,I_GERLE,I_STMPY,I_PLC007,I_NLC003,I_SLC003,I_LNG012,I_RUB002,I_NMA003,I_MFA025,I_MFA023,I_MFA001,I_ALOHA,I_PYR001,I_CAPLS,I_SILVR,I_LKVLY,I_NNA013,I_NFA054,I_CYN009,I_NFA022,I_NFA016,I_SFA066,I_SFA076,I_SLF009,I_ALD004,I_ALD002,I_PLM001,I_UNVLY,I_ICEHS,I_SLV006,I_SLV015,I_BSH003,I_SFA040,I_RCK001,I_SFA030,I_WBR001,I_FOLSM,I_ECHOL
1921-10-31,0.12,0.57,0.31,0.87,0.13,0.8,0.25,0.09,0.13,0.27,0.11,0.01,0.02,0.05,0,1.0,0.94,0.16,0.62,0.17,0.18,0.28,0.14,0.0,0.0,2.2,0.01,1.44,0.1,0.43,0.25,0.29,0.05,0.01,0.02,0.7,0.3,0.27,0.38,0.09,1.69,0.8,0.84,0.2,14.16,0.42
1921-11-30,0.37,1.64,0.8,1.9,0.45,2.9,0.56,0.31,0.46,0.56,0.22,0.05,0.08,0.2,0,2.62,2.05,0.35,0.0,0.38,0.35,0.52,0.33,0.0,0.0,2.18,0.01,1.42,0.1,1.02,0.6,0.68,0.19,0.03,0.08,2.26,1.25,0.44,0.62,0.14,3.1,1.44,1.44,0.86,0.0,0.51
1921-12-31,1.37,5.11,2.42,4.35,1.04,9.95,1.36,1.38,2.06,1.35,0.53,0.22,0.39,0.9,0,8.94,7.16,1.23,0.0,0.62,0.72,0.73,0.83,0.03,0.03,12.36,0.08,7.99,0.57,2.87,1.68,1.92,0.89,0.16,0.41,6.42,2.16,2.01,2.82,0.63,6.11,3.49,3.29,3.68,12.93,0.59
1922-01-31,1.2,4.14,2.35,2.34,0.63,7.57,0.96,1.31,1.96,1.19,0.47,0.22,0.4,0.87,0,8.66,6.12,1.05,0.0,0.29,0.35,0.44,0.5,0.03,0.03,14.23,0.1,9.2,0.65,2.12,1.24,1.42,0.88,0.16,0.41,4.71,1.99,1.37,1.92,0.43,5.01,2.84,2.58,4.35,12.62,0.48
1922-02-28,2.89,10.67,7.31,5.78,1.05,18.94,2.35,3.61,5.39,3.74,1.48,0.69,1.24,2.74,0,29.58,23.13,3.99,0.0,0.75,0.9,1.01,1.27,0.03,0.03,54.79,0.37,35.64,2.52,6.06,3.56,4.06,2.87,0.51,1.35,14.45,2.17,6.1,8.56,1.93,17.35,9.71,6.67,15.75,33.09,0.7
1922-03-31,2.17,8.62,6.58,4.1,0.86,14.59,1.7,2.99,4.47,3.25,1.29,0.61,1.09,2.43,0,27.08,23.05,3.97,16.76,0.54,0.68,0.66,0.96,0.08,0.08,50.41,0.34,32.69,2.31,5.41,3.18,3.63,2.65,0.47,1.36,13.28,2.98,5.92,8.31,1.87,13.85,8.82,5.78,14.77,17.99,0.57
1922-04-30,3.48,14.05,10.62,6.03,1.47,22.72,2.56,5.11,7.63,4.89,1.94,0.96,1.73,3.57,0,40.96,31.68,5.46,51.87,0.72,1.06,1.01,1.86,0.18,0.19,67.58,0.46,43.66,3.09,9.88,5.8,6.62,4.75,0.85,2.05,21.49,5.66,7.39,10.37,2.33,20.69,11.02,11.0,21.77,9.47,0.7
1922-05-31,12.09,47.19,21.57,29.51,7.43,78.01,8.74,15.67,23.41,8.99,3.57,2.06,3.71,7.54,0,73.01,43.91,7.57,55.77,2.69,5.3,8.74,12.18,2.29,2.35,133.79,0.91,82.54,5.84,41.7,24.47,27.96,12.39,2.22,3.0,67.34,26.66,10.3,14.46,3.25,24.67,15.14,22.82,14.36,10.1,3.68
1922-06-30,9.57,39.48,8.41,41.43,9.43,73.23,5.76,8.45,12.62,3.21,1.27,0.79,1.42,3.38,0,23.41,23.65,4.08,6.28,6.32,8.77,16.18,15.5,2.44,2.5,79.4,0.54,46.79,3.31,42.47,24.93,28.47,5.43,0.97,0.56,57.23,21.1,8.05,11.3,2.54,7.43,6.04,12.54,1.99,0.0,6.54
1922-07-31,0.61,5.66,1.74,8.02,1.48,8.71,1.12,0.26,0.39,1.04,0.41,0.07,0.13,0.31,0,4.85,4.72,0.81,0.0,1.67,2.69,4.24,1.53,0.94,0.97,12.95,0.09,6.52,0.46,6.14,3.6,4.12,0.32,0.06,0.06,5.91,3.36,2.44,3.43,0.77,3.04,2.34,7.25,0.21,0.0,1.94
