,I_MFM008,I_SFM005,I_COL003,I_SLTSP,I_UBEAR,I_NFM010,I_TGC003,I_NHGAN,I_PARDE,I_CMCHE,I_JNKSN,I_CMP001,I_CMP014,I_CSM035,I_AMADR,I_DSC035,I_DEE023
1921-09-30,,,,,,,,,,,,,,,,,
1921-10-31,0.2,0.2,0.11,1.03,0.23,0.2,0.01,0.0,0.0,0.0,0.02,0.02,0.05,0.35,0.04,0.06,0.07
1921-11-30,0.28,0.28,0.1,1.0,0.22,0.2,0.01,0.08,0.01,0.01,0.06,0.05,0.12,0.91,0.09,0.14,0.19
1921-12-31,1.59,1.78,0.55,4.3,0.95,0.08,0.01,12.88,0.9,0.9,0.58,0.5,1.36,11.38,1.11,2.4,2.6
1922-01-31,2.05,2.54,1.28,7.95,1.75,2.39,0.18,14.1,0.99,0.99,0.78,0.53,1.42,14.89,1.42,3.8,3.29
1922-02-28,7.45,9.58,3.1,17.26,3.81,11.6,0.87,102.35,7.16,7.16,5.33,2.62,7.06,89.51,8.4,24.0,16.57
1922-03-31,7.69,9.93,2.28,15.12,3.34,12.45,0.93,39.42,2.76,2.76,3.86,1.65,4.45,59.83,5.61,16.1,7.87
1922-04-30,12.04,15.14,4.59,31.78,7.01,22.61,1.69,27.18,1.9,1.9,4.14,2.41,6.52,70.83,6.75,16.54,5.78
1922-05-31,18.4,20.98,22.43,147.22,32.49,65.06,4.86,8.59,0.6,0.6,4.0,3.75,10.11,79.54,7.83,11.66,2.97
1922-06-30,5.56,5.64,21.32,153.51,33.88,43.85,3.28,2.24,0.16,0.16,0.85,1.55,4.2,26.09,2.63,1.95,0.13
1922-07-31,0.97,1.01,1.7,22.69,5.01,3.7,0.28,0.37,0.03,0.03,0.16,0.26,0.7,3.1,0.34,0.15,0.0
1922-08-31,0.34,0.35,0.05,1.24,0.27,0.52,0.04,0.0,0.0,0.0,0.04,0.05,0.12,0.54,0.06,0.02,0.0
1922-09-30,0.18,0.18,0.01,0.38,0.08,0.18,0.01,0.0,0.0,0.0,0.01,0.02,0.04,0.17,0.02,0.01,0.0
1922-10-31,0.31,0.31,0.16,1.65,0.36,0.25,0.02,0.22,0.02,0.02,0.06,0.04,0.12,0.91,0.09,0.14,0.19
1922-11-30,0.87,0.96,0.63,4.85,1.07,0.0,0.0,5.22,0.37,0.37,0.51,0.45,1.22,9.79,0.96,1.95,2.24
1922-12-31,6.16,7.79,3.45,20.19,4.46,10.9,0.81,60.48,4.23,4.23,5.13,2.73,7.36,88.94,8.37,23.58,17.34
1923-01-31,4.02,5.19,2.21,14.94,3.3,10.91,0.82,31.27,2.19,2.19,4.33,1.74,4.7,65.47,6.13,17.78,9.72
1923-02-28,3.82,4.91,1.51,10.53,2.32,6.99,0.52,24.77,1.73,1.73,2.11,1.26,3.41,38.37,3.63,9.84,3.94
1923-03-31,4.33,5.4,2.19,15.74,3.47,9.69,0.72,9.9,0.69,0.69,1.94,1.12,3.04,33.46,3.18,8.14,2.98
1923-04-30,12.14,14.36,7.51,50.16,11.07,23.76,1.78,18.59,1.3,1.3,4.58,3.41,9.21,81.28,7.92,14.13,3.92
1923-05-31,5.52,5.75,18.62,127.0,28.03,34.04,2.54,7.08,0.5,0.5,1.13,1.85,5.0,32.54,3.26,2.54,0.28
1923-06-30,1.92,1.94,8.14,63.0,13.9,15.09,1.13,2.43,0.17,0.17,0.4,0.76,2.06,12.44,1.26,0.91,0.04
1923-07-31,0.59,0.61,1.43,18.6,4.11,2.11,0.16,0.59,0.04,0.04,0.14,0.24,0.65,2.92,0.32,0.15,0.0
1923-08-31,0.25,0.25,0.02,0.71,0.16,0.13,0.01,0.18,0.01,0.01,0.04,0.04,0.12,0.53,0.06,0.02,0.0
1923-09-30,0.24,0.24,0.06,1.78,0.39,0.58,0.04,0.33,0.02,0.02,0.05,0.05,0.13,0.58,0.07,0.03,0.0
1923-10-31,0.39,0.42,0.71,5.83,1.29,-0.0,-0.0,1.2,0.08,0.08,0.06,0.16,0.42,1.57,0.18,0.0,0.11
1923-11-30,0.36,0.43,0.43,2.99,0.66,0.0,0.0,1.19,0.08,0.08,0.07,0.12,0.33,1.49,0.16,0.0,0.1
