,I_BVC007,I_SFS033,I_PCRST,I_SFS030,I_NFS033,I_MIL003,I_ANG017,I_RLIEF,I_MFS047,I_CFS001,I_DONLL,I_MFS022,I_LYONS,I_SPICE,I_NFS009,I_NFS005,I_BEARD,I_MFS013,I_TULOC,I_STS059,I_STS072
1921-10-31,0.16,0.09,0.14,0.03,0.62,0.07,0.03,0.5,0.39,0.77,0.43,0.12,0.13,0.79,1.56,0.09,0.0,0.0,0.0,0.0,8.29
1921-11-30,0.21,0.12,0.18,0.04,0.13,0.09,0.04,0.65,0.51,1.01,0.56,0.16,0.17,0.16,0.18,0.01,0.0,0.0,0.01,0.0,0.0
1921-12-31,1.35,0.55,0.83,0.11,0.32,0.56,0.28,1.43,1.12,2.38,3.03,0.85,0.47,0.3,0.0,0.0,1.02,0.32,1.94,0.41,6.73
1922-01-31,1.71,0.63,0.95,0.13,1.22,0.71,0.35,1.07,0.84,2.56,4.29,1.21,0.59,1.15,3.09,0.17,1.18,0.37,2.12,0.45,10.53
1922-02-28,5.17,1.49,2.24,0.45,1.51,2.15,1.06,1.89,1.49,5.35,11.94,3.37,1.97,1.88,3.19,0.18,3.44,1.09,15.38,3.25,39.29
1922-03-31,5.22,1.36,2.03,0.5,3.21,2.17,1.07,1.41,1.11,3.73,11.2,3.16,2.18,4.3,16.19,0.91,3.3,1.04,5.92,1.25,35.6
1922-04-30,8.82,2.59,3.88,0.87,5.83,3.67,1.81,2.14,1.68,6.36,20.8,5.87,3.81,7.37,27.06,1.52,5.4,1.71,4.09,0.86,62.05
1922-05-31,17.53,14.92,22.38,1.48,28.74,7.3,3.59,16.08,12.63,35.35,85.02,23.98,6.55,40.1,72.48,4.08,12.02,3.8,1.29,0.27,89.09
1922-06-30,6.04,16.86,25.29,0.69,23.99,2.51,1.24,24.87,19.54,49.9,73.91,20.85,3.05,37.5,42.46,2.39,7.45,2.35,0.34,0.07,17.33
1922-07-31,1.21,3.75,5.62,0.18,2.84,0.5,0.25,10.53,8.27,17.57,16.66,4.7,0.81,6.28,3.9,0.22,1.32,0.42,0.06,0.01,0.9
1922-08-31,0.62,0.67,1.01,0.07,0.57,0.26,0.13,2.63,2.06,4.25,2.59,0.73,0.32,1.44,0.78,0.04,0.79,0.25,0.0,0.0,0.0
1922-09-30,0.19,0.12,0.18,0.03,0.58,0.08,0.04,0.77,0.61,1.14,0.14,0.04,0.16,0.82,1.6,0.09,0.41,0.13,0.0,0.0,0.0
1922-10-31,0.24,0.14,0.22,0.04,0.48,0.1,0.05,0.79,0.62,1.2,0.59,0.17,0.19,0.61,1.01,0.06,0.0,0.0,0.03,0.01,0.0
1922-11-30,0.82,0.37,0.55,0.07,0.48,0.34,0.17,1.15,0.9,1.8,1.85,0.52,0.33,0.48,0.89,0.05,0.62,0.2,0.78,0.17,1.61
1922-12-31,3.87,1.34,2.01,0.3,0.82,1.61,0.79,2.11,1.66,5.28,9.39,2.65,1.33,0.78,0.0,0.0,2.76,0.87,9.09,1.92,29.31
1923-01-31,3.82,1.08,1.63,0.35,0.65,1.59,0.78,1.25,0.99,3.12,8.4,2.37,1.54,0.81,0.0,0.0,2.34,0.74,4.7,0.99,40.38
1923-02-28,2.85,0.74,1.12,0.28,1.16,1.19,0.58,0.71,0.56,2.03,5.97,1.68,1.24,1.43,3.15,0.18,1.93,0.61,3.72,0.79,23.99
1923-03-31,3.99,1.15,1.72,0.39,3.55,1.66,0.82,0.97,0.77,2.87,8.9,2.51,1.74,4.7,18.75,1.06,2.35,0.74,1.49,0.31,19.7
1923-04-30,9.6,4.85,7.27,0.82,12.95,4.0,1.97,4.46,3.51,10.76,31.12,8.78,3.61,17.28,41.46,2.33,6.29,1.99,2.79,0.59,39.02
1923-05-31,9.26,13.68,20.51,0.71,22.8,3.86,1.9,16.48,12.95,33.46,68.29,19.26,3.16,32.69,40.36,2.27,8.07,2.55,1.06,0.23,46.65
1923-06-30,2.07,8.09,12.14,0.21,7.11,0.86,0.42,13.33,10.48,25.92,30.09,8.49,0.93,12.14,9.23,0.52,2.75,0.87,0.37,0.08,14.86
1923-07-31,0.92,3.38,5.07,0.12,2.67,0.38,0.19,8.88,6.98,14.69,13.47,3.8,0.54,5.43,3.3,0.19,1.13,0.36,0.09,0.02,1.08
1923-08-31,0.38,0.59,0.88,0.03,0.62,0.16,0.08,1.92,1.51,3.18,2.7,0.76,0.12,1.5,0.68,0.04,0.24,0.08,0.03,0.01,0.0
